point_id,point_name,subbranch,lat,lon,韵,声组,汉字,读音,note,奉化方言同音字汇
FH01,奉化西坞,太湖片-甬江小片,,,歌,T,多,əu,,
FH01,奉化西坞,太湖片-甬江小片,,,歌,T,拖,əu,,
FH01,奉化西坞,太湖片-甬江小片,,,歌,T,他,a,文读,
FH01,奉化西坞,太湖片-甬江小片,,,歌,T,驼,əu,,
FH01,奉化西坞,太湖片-甬江小片,,,歌,T,驮,əu,,
FH01,奉化西坞,太湖片-甬江小片,,,歌,T,陀,,,
FH01,奉化西坞,太湖片-甬江小片,,,歌,T,鸵,,,
FH01,奉化西坞,太湖片-甬江小片,,,歌,T,沱,,,
FH01,奉化西坞,太湖片-甬江小片,,,歌,T,舵,əu,,
FH01,奉化西坞,太湖片-甬江小片,,,歌,T,大,a/əu,文读～夫/白读,
FH01,奉化西坞,太湖片-甬江小片,,,歌,T,驮,əu,,
FH01,奉化西坞,太湖片-甬江小片,,,歌,N,挪,o,,
FH01,奉化西坞,太湖片-甬江小片,,,歌,N,哪,a/o,文读/～吒,
FH01,奉化西坞,太湖片-甬江小片,,,歌,N,那,a,,
FH01,奉化西坞,太湖片-甬江小片,,,歌,L,罗,,,
FH01,奉化西坞,太湖片-甬江小片,,,歌,L,锣,,,
FH01,奉化西坞,太湖片-甬江小片,,,歌,L,箩,,,
FH01,奉化西坞,太湖片-甬江小片,,,歌,L,萝,,,
FH01,奉化西坞,太湖片-甬江小片,,,歌,L,逻,,,
FH01,奉化西坞,太湖片-甬江小片,,,歌,TS,左,əu,,
FH01,奉化西坞,太湖片-甬江小片,,,歌,TS,佐,əu,,
FH01,奉化西坞,太湖片-甬江小片,,,歌,TS,搓,əu,,
FH01,奉化西坞,太湖片-甬江小片,,,歌,TS,娑,,,
FH01,奉化西坞,太湖片-甬江小片,,,歌,K,歌,əu,,
FH01,奉化西坞,太湖片-甬江小片,,,歌,K,哥,əu,,
FH01,奉化西坞,太湖片-甬江小片,,,歌,K,柯,,,
FH01,奉化西坞,太湖片-甬江小片,,,歌,K,个,əu,,
FH01,奉化西坞,太湖片-甬江小片,,,歌,K,轲,,,
FH01,奉化西坞,太湖片-甬江小片,,,歌,K,可,əu,,
FH01,奉化西坞,太湖片-甬江小片,,,歌,K,蛾,əu,,
FH01,奉化西坞,太湖片-甬江小片,,,歌,K,鹅,,,
FH01,奉化西坞,太湖片-甬江小片,,,歌,K,俄,əu,,
FH01,奉化西坞,太湖片-甬江小片,,,歌,K,娥,,,
FH01,奉化西坞,太湖片-甬江小片,,,歌,K,我,,,
FH01,奉化西坞,太湖片-甬江小片,,,歌,K,饿,əu,,
FH01,奉化西坞,太湖片-甬江小片,,,歌,Ø,荷,əu,,
FH01,奉化西坞,太湖片-甬江小片,,,歌,Ø,河,əu,,
FH01,奉化西坞,太湖片-甬江小片,,,歌,Ø,何,əu,,
FH01,奉化西坞,太湖片-甬江小片,,,歌,Ø,荷,əu,,
FH01,奉化西坞,太湖片-甬江小片,,,歌,Ø,贺,əu,,
FH01,奉化西坞,太湖片-甬江小片,,,歌,Ø,阿,əu,～胶,
FH01,奉化西坞,太湖片-甬江小片,,,歌,Ø,屙,,,
FH01,奉化西坞,太湖片-甬江小片,,,戈,K,茄,ia,,
FH01,奉化西坞,太湖片-甬江小片,,,戈,P,波,əu,,
FH01,奉化西坞,太湖片-甬江小片,,,戈,P,菠,o,,
FH01,奉化西坞,太湖片-甬江小片,,,戈,P,跛,əu,,
FH01,奉化西坞,太湖片-甬江小片,,,戈,P,簸,əu,,
FH01,奉化西坞,太湖片-甬江小片,,,戈,P,簸,əu,,
FH01,奉化西坞,太湖片-甬江小片,,,戈,P,播,,,
FH01,奉化西坞,太湖片-甬江小片,,,戈,P,颇,əu,,
FH01,奉化西坞,太湖片-甬江小片,,,戈,P,坡,əu,,
FH01,奉化西坞,太湖片-甬江小片,,,戈,P,玻,o,,
FH01,奉化西坞,太湖片-甬江小片,,,戈,P,破,əu,,
FH01,奉化西坞,太湖片-甬江小片,,,戈,P,婆,,,
